_date,total_clones,unique_clones
2024-12-09,1,1
2024-12-16,15,2
2024-12-17,3,1
2024-12-18,3,2
2024-12-19,1,1
2024-12-20,1,1
2024-12-21,2,2
2024-12-22,1,1
2024-12-23,1,1
2024-12-24,1,1
2024-12-25,1,1
2024-12-26,1,1
2024-12-27,1,1
2024-12-28,1,1
2024-12-29,1,1
2024-12-30,1,1
2024-12-31,1,1
2025-01-01,1,1
2025-01-02,1,1
2025-01-03,1,1
2025-01-04,1,1
2025-01-05,1,1
2025-01-06,2,2
2025-01-07,2,1
2025-01-08,1,1
2025-01-09,1,1
2025-01-10,1,1
2025-01-11,1,1
2025-01-12,1,1
2025-01-13,2,2
2025-01-14,1,1
2025-01-15,1,1
2025-01-16,1,1
2025-01-17,1,1
2025-01-18,1,1
2025-01-19,2,2
2025-01-20,1,1
2025-01-21,1,1
2025-01-22,1,1
2025-01-23,1,1
2025-01-24,1,1
2025-01-25,3,2
2025-01-26,1,1
2025-01-27,1,1
2025-01-28,1,1
2025-01-29,1,1
2025-01-30,2,2
2025-01-31,2,2
2025-02-01,1,1
2025-02-02,2,2
2025-02-03,3,3
2025-02-04,1,1
2025-02-05,1,1
2025-02-06,1,1
2025-11-04,2,1
2025-11-05,59,19
2025-11-06,22,11
2025-11-07,43,6
2025-11-08,9,2
2025-11-09,36,6
2025-11-10,71,14
2025-11-11,23,10
2025-11-12,11,5
2025-11-13,23,13
2025-11-14,6,3
2025-11-15,42,20
2025-11-16,11,5
2025-11-17,21,10
2025-11-18,10,6
2025-11-19,9,6
2025-11-20,3,3
2025-11-21,2,2
2025-11-22,1,1
2025-11-23,3,2
2025-11-24,14,4
2025-11-25,3,2
2025-11-26,1,1
2025-11-27,2,2
2025-11-28,1,1
2025-11-29,25,14
2025-11-30,10,8
2025-12-01,22,9
2025-12-02,3,2
2025-12-03,53,23
2025-12-04,100,46
2025-12-05,77,39
2025-12-06,5,1
2025-12-07,32,3
